"Source type must be defined in class %1. For additional reference see class %2","Source type must be defined in class %1. For additional reference see class %2"
"We can't get the %1 instance right now.","We can't get the %1 instance right now."
"Unable to locate delivery date","Unable to locate delivery date"
"Delivery date was not set.","Delivery date was not set."
"Comment: ","Comment: "
Submit,Submit
Back,Back
Delete,Delete
"Are you sure you want to do this?","Are you sure you want to do this?"
Reset,Reset
"Save and Continue Edit","Save and Continue Edit"
Save,Save
"""Delivery Date Required"" error message","""Delivery Date Required"" error message"
"View Queue Grid","View Queue Grid"
"Delivery Day","Delivery Day"
"Time From","Time From"
"Time To","Time To"
Comment,Comment
"Back to the Delivery Option","Back to the Delivery Option"
"Select Delivery Date","Select Delivery Date"
"Delivery Options","Delivery Options"
"Requested model no longer exists.","Requested model no longer exists."
"The entity that had the id %1 was deleted successfully","The entity that had the id %1 was deleted successfully"
"Requested entity no longer exists.","Requested entity no longer exists."
"Something went wrong.","Something went wrong."
"New Delivery Option","New Delivery Option"
"A total of %1 record(s) were deleted.","A total of %1 record(s) were deleted."
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"Queue %1","Queue %1"
"You saved the delivery option.","You saved the delivery option."
"Something went wrong while saving the delivery option data. Please review the error log.","Something went wrong while saving the delivery option data. Please review the error log."
Queue,Queue
"Queue block should be instance of \MageWorx\DeliveryDate\Block\Adminhtml\Queue","Queue block should be instance of \MageWorx\DeliveryDate\Block\Adminhtml\Queue"
"Store Switcher block should be instance of \Magento\Backend\Block\Store\Switcher , %1 given","Store Switcher block should be instance of \Magento\Backend\Block\Store\Switcher , %1 given"
"Unable to locate delivery info data in request","Unable to locate delivery info data in request"
"Delivery info successfully updated.","Delivery info successfully updated."
"Something went wrong while saving the delivery info data. Please review the error log.","Something went wrong while saving the delivery info data. Please review the error log."
"Invalid source id %1","Invalid source id %1"
"Unknown source type %1","Unknown source type %1"
"Required parameter `%1` missed.","Required parameter `%1` missed."
"Order with id %1 does not exists.","Order with id %1 does not exists."
"Queue with id %1 does not exists.","Queue with id %1 does not exists."
"Queue %1 successfully updated.","Queue %1 successfully updated."
"Empty order id.","Empty order id."
"Unauthorized access.","Unauthorized access."
"Delivery Date was set automatically","Delivery Date was set automatically"
Today,Today
Tomorrow,Tomorrow
"End Date should not be less than Start Date.","End Date should not be less than Start Date."
"Delivery Date Exception: get and set methods must be provided for the field %1","Delivery Date Exception: get and set methods must be provided for the field %1"
"Delivery Date Exception: setter method ""%1"" does not exist in the conditions model.","Delivery Date Exception: setter method ""%1"" does not exist in the conditions model."
"Limits is unavailable for the whole date %1","Limits is unavailable for the whole date %1"
"Sorry, selected date is not available, please select another delivery date","Sorry, selected date is not available, please select another delivery date"
"Compatible time limit not found","Compatible time limit not found"
"Compatible time limit has no quote limits","Compatible time limit has no quote limits"
"Time limit is not available","Time limit is not available"
"Shipping method is not set. Please, select shipping method and try again.","Shipping method is not set. Please, select shipping method and try again."
"The selected delivery date is not available. Please select a different date and try again.","The selected delivery date is not available. Please select a different date and try again."
"Entity must be instance of \Magento\Framework\Model\AbstractModel","Entity must be instance of \Magento\Framework\Model\AbstractModel"
"Could not save the entity: %1","Could not save the entity: %1"
"Could not delete the entity: %1","Could not delete the entity: %1"
"Entity with id ""%1"" does not exist.","Entity with id ""%1"" does not exist."
"Default (%1)","Default (%1)"
"Custom Format","Custom Format"
Format,Format
Description,Description
Example,Example
"More info","More info"
Global,Global
"Per Delivery Option","Per Delivery Option"
Active,Active
Inactive,Inactive
January,January
February,February
March,March
April,April
May,May
June,June
"July ","July "
August,August
September,September
October,October
November,November
December,December
"Each Month","Each Month"
Yes,Yes
No,No
"Global (Unlimited)","Global (Unlimited)"
"Per Day","Per Day"
"Per Day of Week","Per Day of Week"
"All Methods","All Methods"
"Specific Methods","Specific Methods"
"Display Nothing","Display Nothing"
"Display Error Message","Display Error Message"
Sunday,Sunday
Monday,Monday
Tuesday,Tuesday
Wednesday,Wednesday
Thursday,Thursday
Friday,Friday
Saturday,Saturday
"Delivery date is required. Please select delivery date and proceed.","Delivery date is required. Please select delivery date and proceed."
"Selected Delivery Date is not available right now.
                        Please select another Delivery Date and try again.","Selected Delivery Date is not available right now.
                        Please select another Delivery Date and try again."
"Same day delivery is not available after %1","Same day delivery is not available after %1"
"Selected Delivery Date is a holiday.
                        Please select another Delivery Date and try again.","Selected Delivery Date is a holiday.
                        Please select another Delivery Date and try again."
"Selected Delivery Date (%1) is not available right now.
                        Please select another Delivery Date and try again.","Selected Delivery Date (%1) is not available right now.
                        Please select another Delivery Date and try again."
"Unable to locate an order: transport is empty","Unable to locate an order: transport is empty"
"Unable to proceed: instance of the OrderInterface expected, got: %1","Unable to proceed: instance of the OrderInterface expected, got: %1"
"%1 selected for the delivery.","%1 selected for the delivery."
"Quote Address was not detected","Quote Address was not detected"
"The address must be instance of QuoteAddressInterface or OrderAddressInterface.
                    Instance of %1 provided.","The address must be instance of QuoteAddressInterface or OrderAddressInterface.
                    Instance of %1 provided."
"Unable to locate suitable delivery option.","Unable to locate suitable delivery option."
"Delivery Date:","Delivery Date:"
"Delivery Time:","Delivery Time:"
"Delivery Comment:","Delivery Comment:"
"There was no items in request - unable to locate quote.","There was no items in request - unable to locate quote."
"All Groups","All Groups"
"Unknown group: %1","Unknown group: %1"
Empty,Empty
Edit,Edit
"All Shipping Methods","All Shipping Methods"
"No Time","No Time"
"View Order","View Order"
"Unable to locate the order with id %1","Unable to locate the order with id %1"
"Delivery Date","Delivery Date"
"Delivery Information","Delivery Information"
"Date: ","Date: "
"Time: ","Time: "
"No delivery information available","No delivery information available"
"View all","View all"
Dropdown,Dropdown
Daily,Daily
Weekly,Weekly
Month,Month
"2 weeks","2 weeks"
"3 weeks","3 weeks"
"Show weekends","Show weekends"
"This won't take long . . .","This won't take long . . ."
"Select Day","Select Day"
"Select Time","Select Time"
"Changes have been made to this section that have not been saved.","Changes have been made to this section that have not been saved."
"This tab contains invalid data. Please resolve this before saving.","This tab contains invalid data. Please resolve this before saving."
From:,From:
"Delivery date:","Delivery date:"
"Incorrect date format. Please use MM/dd/YY format. Example: 12/24/2024","Incorrect date format. Please use MM/dd/YY format. Example: 12/24/2024"
